
1-央视,#genre#
浙江卫视,http://220.180.229.250:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://47.93.215.244:80/udp/225.1.8.46:8036
浙江卫视,http://120.7.86.46:808/hls/25/index.m3u8
北京卫视,http://171.80.114.238:20000/hls/25/index.m3u8
北京卫视,http://112.99.200.2:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://1.24.190.98:10080/hls/68/index.m3u8
北京卫视,http://110.7.128.207:8096/tsfile/live/0122_1.m3u8
北京卫视,http://112.101.78.50:9901/tsfile/live/0122_1.m3u8
北京卫视,http://1.195.111.251:11190/tsfile/live/0122_1.m3u8
北京卫视,http://47.93.215.244:80/udp/225.1.8.21:8002
北京卫视,http://183.3.134.56:9901/tsfile/live/0122_1.m3u8
北京卫视,http://58.57.21.166:9901/tsfile/live/0122_1.m3u8
北京卫视,http://112.101.78.50:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.154.30.252:9901/tsfile/live/0016_1.m3u8
北京卫视,http://111.11.98.205:9900/hls/33/index.m3u8
北京卫视,http://ik6.iptv8.net:8888/rtp/225.1.4.21:1050
北京卫视,http://120.7.86.46:808/hls/20/index.m3u8
北京卫视,http://220.180.229.250:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://121.24.99.94:8090/hls/32/index.m3u8
北京卫视,http://219.147.200.9:18080/newlive/live/hls/26/live.m3u8
北京卫视,http://ssrs2004.win:8888/rtp/239.112.205.65:5140
北京卫视,http://14.19.211.0:6688/udp/239.77.1.14:5146
北京卫视,http://36.35.16.98:9901/tsfile/live/0001_19.m3u8
北京卫视,http://14.19.211.0:6688/udp/239.77.0.51:5146
北京卫视,http://14.212.185.138:9901/tsfile/live/0122_1.m3u8
江苏卫视,http://171.80.114.238:20000/hls/19/index.m3u8
江苏卫视,http://112.99.200.2:9901/tsfile/live/0127_2.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://1.24.190.98:10080/hls/61/index.m3u8
江苏卫视,http://14.212.185.138:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://112.101.78.50:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://60.27.20.217:4022/rtp/225.1.1.126:5002
江苏卫视,http://47.93.215.244:80/udp/225.1.8.134:8276
江苏卫视,http://36.35.16.98:9901/tsfile/live/0001_23.m3u8
江苏卫视,http://183.3.134.56:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://222.83.181.3:9901/tsfile/live/0117_1.m3u8
